
2023/11/24 (15:45:19) | ===> btop++ v.1.2.13
2023/11/24 (15:45:19) | INFO: Logger set to INFO
2023/11/24 (15:45:19) | INFO: Logger set to DEBUG
2023/11/24 (15:45:21) | INFO: Logger set to INFO
2023/11/24 (15:45:25) | INFO: Logger set to INFO
2023/11/24 (15:45:26) | INFO: Logger set to DEBUG
2023/11/24 (15:45:27) | INFO: Logger set to INFO

2024/02/21 (18:59:18) | ===> btop++ v.1.2.13
2024/02/21 (18:59:18) | ERROR: Stall in Runner thread, restarting!
2024/02/21 (18:59:43) | ERROR: Stall in Runner thread, restarting!
2024/02/21 (19:02:15) | ERROR: Stall in Runner thread, restarting!
2024/02/21 (19:02:25) | ERROR: Stall in Runner thread, restarting!
